curp ,idSucursal ,rfc ,nss,fechaNacimiento,fechadeIngreso,salario,antiguedad,edad
200290691952701477,67,8053666656434,895283600,1987/12/25,2019/11/07,3282.2,2022/03/31,22
661202075362732048,54,8305270546376,136764905,1982/06/10,2020/01/13,4795.6,2021/09/24,36
558323329766158676,59,8976047913927,357401504,1986/09/08,2021/03/31,2198.8,2021/10/07,31
557679241532261999,11,9397940678577,962907596,1980/03/27,2017/07/26,3457.8,2021/12/03,40
159753889712029535,21,3889059592866,268371472,1982/03/18,2017/01/14,3270.6,2021/12/18,29
018980860006841746,43,3576488924027,141191564,1985/06/24,2017/11/16,5151.6,2021/07/31,22
223338990984631247,18,4147656494376,819668378,1989/11/19,2020/07/29,2636.6,2021/08/08,32
721548796836550105,42,1878592744649,645432012,1983/05/28,2019/07/31,4749.5,2021/09/06,37
218801036872983584,32,6054988248000,380709579,1997/08/01,2020/08/30,2485.4,2022/01/22,39
723559019694503868,23,5962905279174,678128475,2003/01/11,2016/10/10,4866.6,2021/10/16,36
298326459068258361,66,3235149814745,478756558,1982/12/28,2019/02/05,3224.2,2021/08/19,38
661450617769620945,51,4778417786663,939584393,1997/01/12,2016/12/23,5905.6,2022/02/25,20
869392407893216866,12,1553550126934,107274656,2001/03/08,2022/03/26,4802.3,2021/06/30,35
441428045423284668,5,1955996124010,789457854,1981/06/18,2022/05/30,2340.4,2022/03/25,21
928679863616934176,7,4584620579006,807833045,2001/04/06,2018/04/09,4697.9,2021/12/12,26
669419850381613313,59,4146355404855,721617435,1999/04/24,2016/12/19,4059.9,2022/01/23,21
028999516438154014,5,2576139862488,134806322,1982/12/29,2017/01/06,2320.4,2021/08/01,39
208753334081005296,62,4209324546085,301630369,1993/11/08,2021/09/11,5680.0,2021/07/31,26
213797471747940424,49,6949067785327,236694849,1996/06/12,2020/07/10,2824.3,2022/03/02,38
796026093364468992,1,5349744764934,720814113,1986/02/17,2016/04/26,4151.3,2022/06/11,31
583319259783581508,62,7103859612741,410540696,1981/09/27,2019/11/07,3660.1,2022/02/04,20
646267057911400815,35,0757847105498,374924067,1983/05/25,2018/11/02,3544.0,2022/04/28,34
575516590684861060,34,5969224074504,913675141,1994/04/16,2018/09/26,5730.3,2022/05/26,39
255950545096723416,2,1974391595038,817403540,1981/10/14,2016/10/29,2564.6,2022/05/06,28
102715080866333082,27,9913482406822,656461894,1999/05/13,2019/01/29,4542.4,2021/11/20,26
900816568792167920,6,2471651309550,491635713,1996/08/25,2017/03/01,4047.5,2022/04/01,40
490937832112002699,51,0758736598199,384606454,1981/03/29,2016/10/20,4037.6,2022/05/07,35
498192728689311669,28,6462095648889,857406999,1994/09/26,2018/01/15,3515.3,2022/04/11,37
693287927984529959,44,2698922867088,320740327,1995/07/28,2020/05/29,3246.9,2021/06/16,24
502363049851751339,7,1137976197037,133184486,1982/09/16,2016/12/02,5882.4,2022/05/14,34
639510988801624525,6,3615130507225,823256782,1989/02/06,2018/01/02,4982.7,2022/05/30,32
